sample_id,work_id,title,publication_year,candidate_topic_id,topic_name,registry_membership,sample_group,label,annotator,notes,selection_reason
6e6ac289bec1b02d,W2321513849,A Study on the Meme Features Appear in Renewal Space -Focusing on the Renewal Project of the Zollverein Coal Mine Industrial Complex in German-,2014,T12325,Urban Design and Spatial Analysis,strict,strict,,,,deterministic_hash_within_registry_membership
203a5a659c0b230f,W2006222780,Entropy in urban and regional modelling,2021,T12325,Urban Design and Spatial Analysis,strict,strict,,,,deterministic_hash_within_registry_membership
3cec7e799b640780,W4391398500,Illustrations and Map,2014,T10757,Geographic Information Systems Studies,strict,strict,,,,deterministic_hash_within_registry_membership
14c67f33a6a692f6,W7140043429,Analysis of Icon Search Time Based on Three Probability Distribution Models,2025,T11106,Data Management and Algorithms,strict,strict,,,,deterministic_hash_within_registry_membership
27c9ebd4b1a9dfff,W3005168527,L'approccio smart outdoor per ambienti urbani sostenibili,2019,T12325,Urban Design and Spatial Analysis,strict,strict,,,,deterministic_hash_within_registry_membership
28df309e9a96078c,W3023639742,A simple method to assess and report thematic saturation in qualitative research,2020,T11911,Spatial and Panel Data Analysis,strict,strict,,,,deterministic_hash_within_registry_membership
0052aa34e3c65c19,W2140190241,Data mining: concepts and techniques,2012,T11106,Data Management and Algorithms,strict,strict,,,,deterministic_hash_within_registry_membership
82d6bb638ef5a303,W4206532480,Maps and Illustrations,2019,T13854,Historical Geography and Cartography,strict,strict,,,,deterministic_hash_within_registry_membership
99eeef619a4c91c5,W4415194646,Un modèle de transcription pour identifier et analyser les objets de référence et les relations spatiales utilisés pour se localiser en montagne,2019,T10757,Geographic Information Systems Studies,strict,strict,,,,deterministic_hash_within_registry_membership
8659ba5069e632d9,W4285056819,Application of modern methods: modeling of sedimentary soil ESP content,2019,T10770,Soil Geostatistics and Mapping,strict,strict,,,,deterministic_hash_within_registry_membership
b52b9b992a39df14,W2033977643,A Bayesian Analysis of Return Level for Extreme Precipitation in Korea,2014,T11911,Spatial and Panel Data Analysis,strict,strict,,,,deterministic_hash_within_registry_membership
d4f713ebb0b0f50c,W1975534106,Geographic Information Systems,2020,T10757,Geographic Information Systems Studies,strict,strict,,,,deterministic_hash_within_registry_membership
